ZIP,ZIPType,CityName,StateAbbr,ZCTA_USE
01580,U,Westborough,MA,01581
01581,S,Westborough,MA,01581
01582,U,Westborough,MA,01581
01583,S,West Boylston,MA,01583
01585,S,West Brookfield,MA,01585
01586,P,West Millbury,MA,01527
01588,S,Whitinsville,MA,01588
01590,S,Sutton,MA,01590
01601,P,Worcester,MA,01608
01602,S,Worcester,MA,01602
01603,S,Worcester,MA,01603
01604,S,Worcester,MA,01604
01605,S,Worcester,MA,01605
01606,S,Worcester,MA,01606
01607,S,Worcester,MA,01607
01608,S,Worcester,MA,01608
01609,S,Worcester,MA,01609
01610,S,Worcester,MA,01610
01611,S,Cherry Valley,MA,01611
01612,S,Paxton,MA,01612
01613,P,Worcester,MA,01604
01614,P,Worcester,MA,01608
01615,P,Worcester,MA,01605
01653,U,Worcester,MA,01605
01654,U,Worcester,MA,01605
01655,S,Worcester,MA,01605
01701,S,Framingham,MA,01701
01702,S,Framingham,MA,01702
01703,P,Framingham,MA,01701
01704,P,Framingham,MA,01701
01705,P,Framingham,MA,01701
01718,S,Village of Nagog Woods,MA,01718
01719,S,Boxborough,MA,01719
01720,S,Acton,MA,01720
01721,S,Ashland,MA,01721
01730,S,Bedford,MA,01730
01731,S,Hanscom AFB,MA,01731
01740,S,Bolton,MA,01740
01741,S,Carlisle,MA,01741
01742,S,Concord,MA,01742
01745,S,Fayville,MA,01745
01746,S,Holliston,MA,01746
01747,S,Hopedale,MA,01747
01748,S,Hopkinton,MA,01748
01749,S,Hudson,MA,01749
01752,S,Marlborough,MA,01752
01754,S,Maynard,MA,01754
01756,S,Mendon,MA,01756
01757,S,Milford,MA,01757
01760,S,Natick,MA,01760
01770,S,Sherborn,MA,01770
01772,S,Southborough,MA,01772
01773,S,Lincoln,MA,01773
01775,S,Stow,MA,01775
01776,S,Sudbury,MA,01776
01778,S,Wayland,MA,01778
01784,P,Woodville,MA,01748
01801,S,Woburn,MA,01801
01803,S,Burlington,MA,01803
01805,U,Burlington,MA,01803
01807,U,Woburn,MA,01801
01810,S,Andover,MA,01810
01812,U,Andover,MA,01810
01813,U,Woburn,MA,01801
01815,U,Woburn,MA,01801
01821,S,Billerica,MA,01821
01822,P,Billerica,MA,01824
01824,S,Chelmsford,MA,01824
01826,S,Dracut,MA,01826
01827,S,Dunstable,MA,01827
01830,S,Haverhill,MA,01830
01831,P,Haverhill,MA,01830
01832,S,Haverhill,MA,01832
01833,S,Georgetown,MA,01833
01834,S,Groveland,MA,01834
01835,S,Haverhill,MA,01835
01840,S,Lawrence,MA,01840
01841,S,Lawrence,MA,01841
01842,P,Lawrence,MA,01840
01843,S,Lawrence,MA,01843
01844,S,Methuen,MA,01844
01845,S,North Andover,MA,01845
01850,S,Lowell,MA,01850
01851,S,Lowell,MA,01851
01852,S,Lowell,MA,01852
01853,P,Lowell,MA,01854
01854,S,Lowell,MA,01854
01860,S,Merrimac,MA,01860
01862,S,North Billerica,MA,01862
01863,S,North Chelmsford,MA,01863
01864,S,North Reading,MA,01864
01865,P,Nutting Lake,MA,01821
01866,P,Pinehurst,MA,01821
01867,S,Reading,MA,01867
01876,S,Tewksbury,MA,01876
01879,S,Tyngsboro,MA,01879
01880,S,Wakefield,MA,01880
01885,P,West Boxford,MA,01921
01886,S,Westford,MA,01886
01887,S,Wilmington,MA,01887
01888,P,Woburn,MA,01801
01889,U,North Reading,MA,01864
01890,S,Winchester,MA,01890
01899,U,Andover,MA,01810
01901,S,Lynn,MA,01901
01902,S,Lynn,MA,01902
01903,P,Lynn,MA,01901
01904,S,Lynn,MA,01904
01905,S,Lynn,MA,01905
01906,S,Saugus,MA,01906
01907,S,Swampscott,MA,01907
01908,S,Nahant,MA,01908
01910,U,Lynn,MA,01905
01913,S,Amesbury,MA,01913
01915,S,Beverly,MA,01915
01921,S,Boxford,MA,01921
01922,S,Byfield,MA,01922
01923,S,Danvers,MA,01923
01929,S,Essex,MA,01929
01930,S,Gloucester,MA,01930
01931,P,Gloucester,MA,01930
01936,P,Hamilton,MA,01982
01937,P,Hathorne,MA,01937
01938,S,Ipswich,MA,01938
01940,S,Lynnfield,MA,01940
01944,S,Manchester,MA,01944
01945,S,Marblehead,MA,01945
01949,S,Middleton,MA,01949
01950,S,Newburyport,MA,01950
01951,S,Newbury,MA,01951
01952,S,Salisbury,MA,01952
01960,S,Peabody,MA,01960
01961,P,Peabody,MA,01960
01965,P,Prides Crossing,MA,01915
01966,S,Rockport,MA,01966
01969,S,Rowley,MA,01969
01970,S,Salem,MA,01970
01971,P,Salem,MA,01970
01982,S,South Hamilton,MA,01982
01983,S,Topsfield,MA,01983
01984,S,Wenham,MA,01984
01985,S,West Newbury,MA,01985
02018,P,Accord,MA,02043
02019,S,Bellingham,MA,02019
02020,P,Brant Rock,MA,02050
02021,S,Canton,MA,02021
02025,S,Cohasset,MA,02025
02026,S,Dedham,MA,02026
02027,P,Dedham,MA,02026
02030,S,Dover,MA,02030
02032,S,East Walpole,MA,02032
02035,S,Foxboro,MA,02035
02038,S,Franklin,MA,02038
02040,P,Greenbush,MA,02066
02041,P,Green Harbor,MA,02050
02043,S,Hingham,MA,02043
02044,U,Hingham,MA,02043
02045,S,Hull,MA,02045
02047,P,Humarock,MA,02047
02048,S,Mansfield,MA,02048
02050,S,Marshfield,MA,02050
02051,P,Marshfield Hills,MA,02050
02052,S,Medfield,MA,02052
02053,S,Medway,MA,02053
02054,S,Millis,MA,02054
02055,P,Minot,MA,02066
02056,S,Norfolk,MA,02056
02059,P,North Marshfield,MA,02050
02060,P,North Scituate,MA,02066
02061,S,Norwell,MA,02061
02062,S,Norwood,MA,02062
02065,P,Ocean Bluff,MA,02050
02066,S,Scituate,MA,02066
02067,S,Sharon,MA,02067
02070,P,Sheldonville,MA,02093
02071,S,South Walpole,MA,02071
02072,S,Stoughton,MA,02072
02081,S,Walpole,MA,02081
02090,S,Westwood,MA,02090
02093,S,Wrentham,MA,02093
02108,S,Boston,MA,02108
02109,S,Boston,MA,02109
02110,S,Boston,MA,02110
02111,S,Boston,MA,02111
02112,P,Boston,MA,02109
02113,S,Boston,MA,02113
02114,S,Boston,MA,02114
02115,S,Boston,MA,02115
02116,S,Boston,MA,02116
02117,P,Boston,MA,02116
02118,S,Boston,MA,02118
02119,S,Boston,MA,02119
02120,S,Boston,MA,02120
02121,S,Boston,MA,02121
02122,S,Boston,MA,02122
02123,P,Boston,MA,02115
02124,S,Boston,MA,02124
02125,S,Boston,MA,02125
02126,S,Mattapan,MA,02126
02127,S,Boston,MA,02127
02128,S,Boston,MA,02128
02129,S,Charlestown,MA,02129
02130,S,Jamaica Plain,MA,02130
02131,S,Roslindale,MA,02131
02132,S,West Roxbury,MA,02132
02133,S,Boston,MA,02108
02134,S,Allston,MA,02134
02135,S,Brighton,MA,02135
02136,S,Hyde Park,MA,02136
02137,P,Readville,MA,02136
02138,S,Cambridge,MA,02138
02139,S,Cambridge,MA,02139
02140,S,Cambridge,MA,02140
02141,S,Cambridge,MA,02141
02142,S,Cambridge,MA,02142
02143,S,Somerville,MA,02143
02144,S,Somerville,MA,02144
02145,S,Somerville,MA,02145
02148,S,Malden,MA,02148
02149,S,Everett,MA,02149
02150,S,Chelsea,MA,02150
02151,S,Revere,MA,02151
02152,S,Winthrop,MA,02152
02153,P,Medford,MA,02155
02155,S,Medford,MA,02155
02156,P,West Medford,MA,02155
02163,S,Boston,MA,02163
02169,S,Quincy,MA,02169
02170,S,Quincy,MA,02170
02171,S,Quincy,MA,02171
02176,S,Melrose,MA,02176
02180,S,Stoneham,MA,02180
02184,S,Braintree,MA,02184
02185,P,Braintree,MA,02184
02186,S,Milton,MA,02186
02187,P,Milton Village,MA,02186
02188,S,Weymouth,MA,02188
02189,S,East Weymouth,MA,02189
02190,S,South Weymouth,MA,02190
02191,S,North Weymouth,MA,02191
02196,P,Boston,MA,02111
02199,S,Boston,MA,02199
02201,U,Boston,MA,02108
02203,S,Boston,MA,02203
02204,U,Boston,MA,02150
02205,P,Boston,MA,02111
02206,U,Boston,MA,02150
02210,S,Boston,MA,02210
02211,U,Boston,MA,02109
02212,U,Boston,MA,02109
02215,S,Boston,MA,02215
02217,U,Boston,MA,02116
02222,S,Boston,MA,02114
02228,P,East Boston,MA,02128
02238,P,Cambridge,MA,02139
02241,U,Boston,MA,02110
02266,U,Boston,MA,02127
02269,P,Quincy,MA,02169
02283,S,Boston,MA,02111
02284,S,Boston,MA,02111
02293,U,Boston,MA,02111
02295,U,Boston,MA,02116
02297,U,Boston,MA,02111
02298,P,Boston,MA,02111
02301,S,Brockton,MA,02301
02302,S,Brockton,MA,02302
